순위,노래제목,가수
1,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2,LOVE DIVE,IVE (아이브)
3,TOMBOY,(여자)아이들
4,사랑인가 봐,멜로망스
5,Feel My Rhythm,Red Velvet (레드벨벳)
6,사랑은 늘 도망가,임영웅
7,GANADARA (Feat. 아이유),박재범
8,우리들의 블루스,임영웅
9,LOVE me,BE'O (비오)
10,취중고백,김민석 (멜로망스)
11,INVU,태연 (TAEYEON)
12,이제 나만 믿어요,임영웅
13,듣고 싶을까,MSG워너비(M.O.M)
14,다시 사랑한다면 (김필 Ver.),임영웅
15,그대라는 사치,임영웅
16,별빛 같은 나의 사랑아,임영웅
17,ELEVEN,IVE (아이브)
18,HERO,임영웅
19,다정히 내 이름을 부르면,"경서예지, 전건호"
20,끝사랑,임영웅
21,신호등,이무진
22,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
23,Bk Love,임영웅
24,Seoul,볼빨간사춘기
25,MY BAG,(여자)아이들
26,RUN2U,STAYC(스테이씨)
27,SMILEY (Feat. BIBI),YENA (최예나)
28,ZOOM,제시 (Jessi)
29,STAY,"The Kid LAROI, Justin Bieber"
30,나의 X에게,경서
31,언제나 사랑해,케이시 (Kassy)
32,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
33,걷고 싶다,임영웅
34,드라마,아이유
35,존재만으로,원슈타인
36,Next Level,aespa
37,너를 생각해,주시크 (Joosiq)
38,Dynamite,방탄소년단
39,strawberry moon,아이유
40,Butter,방탄소년단
41,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
42,Weekend,태연 (TAEYEON)
43,Real Love,오마이걸 (OH MY GIRL)
44,Step Back,GOT the beat
45,아무래도 난,주시크 (Joosiq)
46,That's Hilarious,Charlie Puth
47,Permission to Dance,방탄소년단
48,Counting Stars (Feat. Beenzino),BE'O (비오)
49,호랑수월가,탑현
50,라일락,아이유
51,내가 아니라도,주호
52,눈이 오잖아(Feat.헤이즈),이무진
53,"스물다섯, 스물하나",자우림
54,사랑인걸,한동근
55,With you,"지민, 하성운"
56,abcdefu,GAYLE
57,너의 번호를 누르고,김나영
58,어제처럼,폴킴
59,바라만 본다,MSG워너비(M.O.M)
60,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
61,봄날,방탄소년단
62,Savage,aespa
63,내 손을 잡아,아이유
64,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
65,너의 모든 순간,성시경
66,LOVE,몬스타엑스
67,버퍼링 (Glitch Mode),NCT DREAM
68,My Universe,"Coldplay, 방탄소년단"
69,Celebrity,아이유
70,Dreams Come True,aespa
71,Bad Habits,Ed Sheeran
72,Darl+ing,세븐틴
73,Blueming,아이유
74,문득,BE'O (비오)
75,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
76,밤하늘의 별을(2020),경서
77,Starlight,태일 (TAEIL)
78,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
79,Off My Face,Justin Bieber
80,Dun Dun Dance,오마이걸 (OH MY GIRL)
81,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
82,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
83,고백,멜로망스
84,Drive,미연 ((여자)아이들)
85,헤픈 우연,헤이즈 (Heize)
86,내 생에 아름다운,이예준
87,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
88,롤린 (Rollin'),브레이브걸스
89,그대가 있기에,노을
90,Christmas Tree,V
91,봄 사랑 벚꽃 말고,"HIGH4 (하이포), 아이유"
92,언덕나무,이승윤
93,Stronger (What Doesn't Kill You),Kelly Clarkson
94,서랍,10CM
95,DAYDREAM,하이라이트 (Highlight)
96,나는 트로트가 싫어요,임창정
97,낙하 (with 아이유),AKMU (악뮤)
98,겨울잠,아이유
99,Can't Control Myself,태연 (TAEYEON)
100,봄 to 러브,10CM
